lux,r,g,b,decision
7.2,171,125,104,OFF
25.5,134,155,124,RED
8.5,120,158,84,OFF
23.1,145,106,89,OFF
18.8,174,51,159,OFF
10.2,149,144,71,RED
29.6,141,132,74,OFF
5.9,152,151,110,RED
22.7,125,121,82,RED
23.4,136,113,78,RED
10.0,66,207,117,OFF
26.5,189,73,53,OFF
13.4,162,158,73,OFF
17.7,119,108,193,RED
17.5,226,117,131,RED
14.3,153,118,83,OFF
21.9,108,99,129,RED
21.7,184,152,135,OFF
1.4,166,183,152,OFF
25.8,166,148,107,OFF
2.1,133,134,151,BOTH
23.6,168,92,32,RED
24.4,139,150,71,RED
6.7,172,212,119,WHITE
12.1,73,115,125,OFF
6.6,132,115,77,WHITE
13.7,219,108,123,OFF
12.9,119,111,88,RED
21.6,125,24,102,RED
25.9,132,145,153,OFF
26.5,101,97,148,OFF
10.9,61,68,73,OFF
13.7,140,159,71,BOTH
1.9,155,88,96,OFF
9.0,148,117,111,OFF
23.1,144,186,87,RED
28.3,151,76,154,OFF
5.5,191,71,126,OFF
10.7,142,140,129,OFF
15.2,127,174,63,OFF
17.6,138,69,159,RED
8.9,173,145,1,OFF
18.8,206,152,145,OFF
11.6,125,51,149,OFF
15.3,154,160,95,OFF
19.8,163,163,163,WHITE
15.4,110,118,110,WHITE
11.9,151,178,115,OFF
14.5,91,173,126,OFF
14.7,79,134,238,OFF
12.4,164,112,165,OFF
13.3,134,92,140,OFF
28.2,158,128,77,RED
19.9,149,152,118,OFF
13.0,111,117,80,OFF
21.0,148,45,145,OFF
12.7,100,178,118,OFF
24.8,205,137,68,OFF
18.3,95,115,116,OFF
14.5,142,163,79,OFF
19.0,108,188,118,OFF
2.8,173,22,79,WHITE
6.4,136,146,114,OFF
5.9,129,75,142,WHITE
16.5,184,149,110,OFF
29.2,151,135,97,WHITE
33.2,170,154,121,RED
20.5,110,111,140,OFF
19.4,93,58,69,RED
1.0,154,112,123,OFF
11.1,137,145,164,OFF
9.1,175,169,135,OFF
10.4,147,85,115,OFF
14.0,158,169,138,OFF
11.6,85,105,130,RED
0.0,225,144,142,RED
21.4,143,110,33,OFF
6.8,178,137,51,RED
17.3,116,164,152,OFF
32.0,162,83,53,OFF
8.0,97,104,128,WHITE
0.0,168,137,99,OFF
13.1,135,222,73,OFF
24.2,151,97,126,RED
31.0,178,208,120,OFF
5.6,100,207,196,OFF
19.4,122,126,88,OFF
11.7,168,118,169,OFF
14.5,234,103,126,BOTH
36.5,144,127,86,OFF
3.4,173,76,144,OFF
17.4,145,127,135,OFF
19.1,228,187,114,OFF
24.1,80,106,123,OFF
16.2,154,120,89,OFF
17.9,85,64,80,OFF
12.3,49,144,142,OFF
17.5,162,140,104,OFF
12.6,155,132,109,RED
20.4,138,121,124,WHITE
12.4,145,118,123,WHITE
18.4,255,149,56,OFF
15.2,139,129,163,OFF
24.4,170,142,117,RED
15.0,124,138,105,OFF
1.2,162,173,129,OFF
25.5,140,156,122,RED
8.2,133,137,143,RED
10.2,223,188,134,BOTH
10.6,197,146,141,RED
26.4,155,180,166,OFF
0.0,57,153,147,OFF
40.5,135,59,106,WHITE
23.8,255,180,68,OFF
17.2,140,135,178,WHITE
15.0,194,128,103,OFF
17.7,208,140,94,OFF
19.6,158,116,44,RED
20.5,116,138,126,OFF
19.8,52,107,118,RED
16.1,177,179,53,OFF
13.8,117,125,130,WHITE
14.2,157,115,93,OFF
13.8,100,94,219,OFF
24.5,139,140,90,OFF
20.1,151,137,95,OFF
0.0,160,145,78,RED
20.6,105,90,163,OFF
16.9,198,68,98,OFF
15.2,126,154,84,OFF
12.3,83,187,140,OFF
24.4,145,90,58,OFF
23.0,151,191,137,OFF
9.2,156,141,183,OFF
18.6,204,129,135,WHITE
7.6,140,114,138,OFF
4.4,145,77,147,BOTH
10.4,105,168,180,OFF
22.3,183,100,160,OFF
23.0,157,100,130,OFF
19.5,133,168,148,OFF
21.2,73,57,78,OFF
19.5,208,71,143,RED
10.3,100,129,73,OFF
18.8,126,141,98,RED
21.8,164,148,0,OFF
21.4,102,118,128,OFF
24.9,90,227,87,OFF
21.1,65,121,156,WHITE
18.2,179,121,128,OFF
23.9,128,99,157,WHITE
15.2,255,134,70,OFF
8.3,110,153,153,OFF
14.1,113,176,196,OFF
9.4,127,73,143,RED
10.0,159,120,144,RED
14.2,131,147,119,OFF
9.1,174,152,92,WHITE
12.9,110,130,143,OFF
0.3,94,151,53,WHITE
17.1,78,99,96,RED
15.4,61,189,43,OFF
8.9,129,168,85,RED
20.7,138,78,138,OFF
22.9,124,88,132,OFF
2.5,200,90,115,OFF
9.3,199,156,119,OFF
9.2,136,80,38,OFF
7.9,78,117,98,OFF
22.0,127,147,86,OFF
13.8,126,127,87,OFF
13.3,123,140,136,OFF
0.0,122,89,79,OFF
20.5,123,153,89,RED
5.5,134,106,30,OFF
15.9,124,117,101,RED
17.6,158,139,70,OFF
26.3,164,134,116,OFF
4.9,113,131,75,OFF
0.0,201,101,117,OFF
16.9,110,118,107,OFF
29.8,85,130,178,OFF
25.3,165,77,132,OFF
17.1,117,112,40,OFF
11.5,163,145,63,WHITE
21.8,53,81,115,OFF
7.6,206,174,76,OFF
19.2,177,178,0,OFF
19.4,90,82,166,OFF
23.9,90,182,141,BOTH
37.4,217,124,133,OFF
18.5,120,146,89,OFF
11.3,116,111,129,OFF
15.2,59,165,85,OFF
1.3,136,145,121,OFF
9.8,141,98,76,WHITE
12.1,178,85,172,OFF
11.2,94,74,51,OFF
16.6,89,137,161,OFF
8.8,168,152,114,OFF
24.4,190,155,93,OFF
15.4,87,125,119,OFF
15.3,193,85,141,OFF
12.8,151,104,166,OFF
16.6,193,174,125,OFF
22.0,147,111,77,OFF
8.5,49,135,115,OFF
10.1,144,88,184,OFF
13.0,192,143,166,OFF
4.6,114,112,148,OFF
8.8,134,170,144,WHITE
11.6,143,159,140,RED
22.4,33,111,158,BOTH
17.5,217,125,95,BOTH
16.9,114,109,59,RED
22.2,170,75,115,BOTH
14.3,146,97,80,WHITE
18.5,200,137,71,RED
14.6,166,142,84,OFF
17.5,140,135,210,OFF
10.7,114,118,118,RED
0.0,182,165,127,OFF
14.3,75,132,64,RED
26.8,176,157,40,OFF
22.8,106,62,80,OFF
23.1,200,0,169,OFF
25.3,156,141,126,WHITE
16.1,176,75,136,OFF
17.0,153,122,142,WHITE
10.5,79,118,89,RED
12.9,115,191,167,OFF
20.3,177,145,88,OFF
25.0,156,136,168,OFF
14.3,197,162,130,OFF
11.8,166,144,42,OFF
15.4,111,112,83,OFF
20.2,118,171,42,OFF
3.9,154,87,158,RED
0.0,57,142,112,OFF
11.0,217,70,25,OFF
5.6,167,138,127,OFF
11.3,199,137,91,RED
14.2,86,194,54,WHITE
11.8,200,70,179,OFF
27.0,239,107,117,WHITE
18.0,97,161,101,RED
17.8,181,143,97,RED
20.4,150,137,53,RED
6.3,88,93,61,OFF
23.7,169,107,163,OFF
14.8,183,177,94,OFF
20.8,126,128,113,OFF
6.8,196,144,32,OFF
3.0,83,125,61,WHITE
21.9,90,84,137,OFF
18.4,155,166,127,BOTH
8.2,151,149,182,OFF
8.4,121,218,165,OFF
24.4,182,91,103,OFF
5.9,171,161,131,OFF
28.5,184,79,100,BOTH
8.2,145,136,193,RED
20.5,174,167,158,OFF
12.8,132,50,119,BOTH
20.2,232,122,120,RED
11.0,117,108,169,OFF
14.1,234,103,135,OFF
15.7,151,144,174,OFF
7.4,95,173,26,OFF
21.3,205,125,131,RED
11.3,155,138,92,OFF
13.6,184,134,182,OFF
7.4,199,130,173,OFF
0.0,163,88,114,BOTH
13.9,126,172,173,RED
34.7,189,141,183,OFF
21.7,150,145,115,OFF
15.2,177,99,210,OFF
13.3,63,112,111,RED
15.6,168,123,104,OFF
19.8,124,71,147,RED
6.0,216,65,99,BOTH
24.3,175,107,116,OFF
21.1,159,150,168,OFF
21.1,169,105,113,OFF
18.9,110,91,46,OFF
15.5,215,98,127,OFF
20.8,230,112,85,OFF
20.1,165,116,147,OFF
12.6,213,213,140,OFF
10.8,127,170,170,WHITE
16.2,118,169,148,OFF
27.8,151,175,155,OFF
5.5,167,91,86,RED
3.7,134,83,144,OFF
16.7,171,87,190,OFF
15.8,162,181,85,RED
16.8,110,109,183,OFF
17.3,171,82,91,OFF
13.6,184,113,79,OFF
27.3,157,121,124,OFF
2.6,196,140,141,OFF
8.8,101,139,148,BOTH
14.6,168,98,75,OFF
2.3,103,156,130,OFF
14.0,105,105,85,WHITE
28.7,124,124,54,RED
15.6,112,156,76,OFF
17.2,128,105,83,OFF
5.3,141,108,133,OFF
10.5,183,152,158,BOTH
12.4,137,97,54,OFF
12.9,86,115,126,WHITE
25.6,195,151,66,OFF
19.8,116,209,137,WHITE
6.5,147,153,88,OFF
17.4,168,148,71,BOTH
19.4,158,150,144,WHITE
24.5,194,89,89,OFF
28.0,169,134,100,RED
7.3,115,129,25,RED
8.9,237,142,150,WHITE
5.3,158,134,145,OFF
13.5,144,144,113,OFF
19.1,188,118,52,WHITE
23.3,160,132,160,RED
14.8,166,83,86,OFF
12.8,250,117,95,RED
16.6,139,183,204,OFF
8.7,137,142,85,RED
32.1,154,129,142,OFF
2.5,193,202,135,OFF
16.9,89,77,128,OFF
31.6,71,87,124,OFF
15.4,126,195,127,OFF
13.9,84,131,123,OFF
12.5,133,120,110,OFF
14.0,170,84,172,OFF
26.4,114,147,61,RED
0.0,92,151,153,OFF
27.6,152,88,145,OFF
4.0,184,124,140,OFF
13.3,82,117,157,WHITE
12.0,183,140,109,OFF
20.1,182,87,39,OFF
2.6,188,178,110,RED
19.1,199,165,73,BOTH
31.6,238,116,84,OFF
4.5,135,121,64,BOTH
16.9,154,124,94,OFF
10.1,133,100,89,OFF
18.8,150,113,19,OFF
15.5,211,119,140,OFF
10.3,96,192,200,OFF
19.3,115,166,136,OFF
29.8,205,166,105,OFF
13.9,191,144,110,OFF
21.1,135,87,96,OFF
5.1,184,128,116,OFF
7.7,163,167,111,OFF
19.2,210,81,79,BOTH
27.3,153,154,179,OFF
18.2,191,219,54,OFF
12.9,255,170,141,OFF
15.4,174,184,109,OFF
5.4,152,138,187,OFF
20.2,179,167,126,OFF
22.4,135,102,98,RED
11.8,245,160,103,OFF
11.6,157,155,114,OFF
17.5,139,141,67,OFF
11.9,116,180,82,RED
14.9,194,109,42,RED
32.2,184,123,76,OFF
13.4,130,133,116,OFF
12.5,173,90,124,BOTH
10.2,89,138,34,OFF
21.3,157,64,107,OFF
13.9,168,170,135,OFF
10.2,218,131,106,OFF
26.0,119,110,88,BOTH
26.7,98,98,96,BOTH
10.6,114,121,91,RED
0.5,96,156,87,OFF
23.4,203,151,119,OFF
9.9,212,103,203,OFF
21.7,163,97,83,BOTH
0.0,199,155,100,OFF
22.5,155,102,110,OFF
5.7,146,132,85,OFF
21.2,136,134,156,OFF
15.5,137,142,19,BOTH
7.8,88,163,92,OFF
12.1,160,81,145,OFF
20.9,148,56,101,OFF
16.2,180,108,80,OFF
20.1,153,199,130,WHITE
31.2,143,207,148,BOTH
2.9,115,200,121,BOTH
28.3,153,122,81,RED
16.2,179,61,130,OFF
8.2,104,40,97,OFF
4.8,153,106,142,OFF
13.9,159,122,171,OFF
22.8,121,180,10,OFF
14.4,126,163,117,OFF
27.5,159,138,44,OFF
3.8,104,96,209,OFF
15.3,164,93,94,RED
5.4,114,139,142,WHITE
18.3,192,156,111,OFF
22.5,243,145,81,OFF
12.0,115,90,76,WHITE
0.0,171,155,175,OFF
17.0,121,146,150,OFF
18.9,191,89,189,OFF
18.6,99,100,115,OFF
25.3,169,156,124,OFF
6.8,115,121,102,WHITE
20.8,141,191,101,OFF
24.9,108,149,71,OFF
1.2,183,111,116,OFF
17.9,116,129,81,OFF
11.4,172,132,130,OFF
14.7,136,102,119,OFF
18.2,145,95,124,OFF
11.5,156,157,179,OFF
10.0,119,162,111,OFF
15.7,158,153,142,OFF
6.7,211,188,193,OFF
6.7,118,109,164,OFF
20.8,197,194,158,OFF
6.2,210,95,100,OFF
20.7,117,91,122,BOTH
19.1,91,62,61,BOTH
1.6,162,113,132,OFF
10.0,128,110,123,RED
24.9,225,150,113,OFF
7.6,151,139,153,OFF
11.7,118,84,65,OFF
19.1,104,115,177,OFF
21.7,193,115,148,OFF
13.4,127,62,110,OFF
10.6,151,92,107,RED
26.8,188,100,131,OFF
29.3,130,185,172,OFF
23.2,148,137,117,OFF
16.1,149,155,118,OFF
8.9,177,72,113,BOTH
8.8,173,176,183,RED
19.6,141,180,98,BOTH
18.7,152,53,111,OFF
26.6,135,103,170,OFF
20.6,90,149,118,OFF
3.4,160,154,157,OFF
23.8,226,104,77,OFF
7.4,114,118,104,RED
12.3,119,107,171,OFF
17.4,115,134,86,OFF
31.3,179,176,107,RED
40.2,168,100,123,RED
20.2,143,168,74,OFF
13.9,113,100,96,OFF
19.7,153,97,117,OFF
22.5,87,161,114,OFF
12.8,155,165,163,OFF
29.7,185,162,173,OFF
17.2,100,79,79,OFF
19.4,88,112,117,OFF
20.7,213,161,139,RED
18.8,125,131,172,WHITE
22.1,195,88,141,OFF
10.5,144,147,124,RED
10.9,143,102,139,OFF
6.6,167,199,139,OFF
18.9,114,189,76,OFF
21.6,155,153,120,OFF
19.1,134,182,170,OFF
28.8,97,132,104,WHITE
15.3,163,159,118,OFF
20.7,139,186,103,BOTH
6.7,143,139,21,OFF
12.3,101,120,113,OFF
21.0,214,64,124,OFF
22.2,185,126,92,OFF
13.0,188,161,67,OFF
14.8,137,166,78,OFF
3.3,80,149,143,OFF
12.5,228,109,190,OFF
22.5,147,54,167,OFF
20.0,120,111,60,OFF
19.4,166,118,146,OFF
15.8,197,118,86,RED
15.4,149,153,90,BOTH
10.1,201,206,94,OFF
21.0,193,134,140,OFF
18.8,107,121,150,OFF
19.3,123,120,109,WHITE
11.2,188,134,109,OFF
0.0,41,98,131,OFF
24.2,144,134,135,OFF
11.6,92,147,159,OFF
8.5,131,138,62,OFF
20.9,138,147,113,WHITE
12.3,135,146,70,OFF
23.9,128,62,110,BOTH
20.3,106,154,104,OFF
20.9,242,104,111,BOTH
4.5,225,88,81,RED
25.1,103,87,54,OFF
17.5,213,146,30,RED
12.4,134,121,107,OFF
16.5,155,65,96,OFF
1.2,147,148,86,OFF
18.7,123,74,165,OFF
7.2,189,135,79,OFF
4.6,155,139,168,OFF
3.2,131,164,177,WHITE
24.3,97,198,36,OFF
10.4,114,77,116,OFF
27.7,84,128,97,OFF
11.1,150,119,0,OFF
1.7,102,146,56,OFF
6.5,139,138,143,OFF
25.3,205,116,192,RED
14.1,198,113,148,OFF
11.0,148,87,125,OFF
16.7,146,168,112,RED
19.4,225,147,179,OFF
24.3,171,165,197,OFF
27.0,137,118,89,OFF
12.5,93,104,34,RED
4.8,166,88,30,WHITE
12.1,183,143,165,RED
17.5,124,90,111,OFF
7.7,161,201,120,OFF
7.7,135,80,42,RED
18.1,142,140,83,OFF
15.0,50,190,101,OFF
15.7,141,153,121,RED
9.3,189,136,97,OFF
13.6,124,93,72,OFF
8.0,152,77,82,WHITE
22.5,119,159,160,OFF
23.7,164,187,122,OFF
0.6,141,113,137,RED
8.0,112,86,77,WHITE
3.4,203,35,0,OFF
10.2,187,92,92,OFF
14.7,125,125,78,RED
3.8,170,191,126,OFF
8.0,171,156,242,OFF
7.4,175,141,140,OFF
17.0,82,114,220,RED
15.9,190,107,135,RED
9.6,127,184,88,OFF
16.8,135,137,126,RED
11.0,255,49,183,RED
13.2,162,104,185,OFF
28.8,134,97,90,OFF
26.1,61,109,122,OFF
5.0,205,151,56,WHITE
22.0,96,126,145,OFF
21.9,109,127,174,OFF
6.2,136,180,114,OFF
21.9,207,103,86,OFF
27.7,181,201,127,RED
6.4,143,104,129,OFF
8.1,162,133,116,WHITE
23.5,126,119,120,OFF
17.6,155,134,106,OFF
19.8,153,147,152,WHITE
18.1,189,146,142,OFF
18.5,189,101,74,OFF
4.8,170,87,73,BOTH
23.8,135,226,102,OFF
24.7,179,111,142,OFF
13.6,146,157,118,OFF
15.0,106,68,87,OFF
3.2,134,119,123,RED
19.5,153,125,99,BOTH
20.0,186,148,147,OFF
14.9,142,25,126,RED
24.4,101,136,100,WHITE
12.7,152,86,122,OFF
19.9,154,142,164,OFF
7.2,157,90,90,OFF
15.2,187,97,128,BOTH
14.0,191,119,110,BOTH
17.2,126,89,129,OFF
12.4,125,111,87,WHITE
14.3,108,84,117,OFF
22.0,178,59,156,OFF
11.9,208,169,76,BOTH
2.6,137,80,60,OFF
29.4,140,123,62,OFF
26.4,209,159,66,OFF
5.1,170,106,136,OFF
20.9,167,98,57,OFF
11.4,102,138,101,OFF
17.5,177,173,137,WHITE
17.7,112,85,129,WHITE
13.5,104,124,97,OFF
9.1,136,63,120,OFF
9.9,126,115,117,OFF
8.1,141,131,104,OFF
8.7,92,97,104,OFF
14.9,188,112,201,OFF
9.7,195,76,144,OFF
20.8,72,133,210,OFF
27.3,189,170,93,OFF
10.8,117,88,109,OFF
17.3,184,106,60,RED
19.4,147,149,81,RED
19.2,151,176,187,OFF
16.0,142,72,92,RED
21.3,198,123,188,OFF
19.2,100,141,64,OFF
5.5,174,126,71,RED
22.3,194,35,99,OFF
22.5,178,149,110,OFF
9.3,243,188,149,OFF
15.7,128,134,130,WHITE
20.9,188,90,96,OFF
13.7,145,110,107,RED
24.0,199,198,100,BOTH
34.3,149,165,76,OFF
9.1,134,154,78,OFF
4.4,202,143,153,OFF
17.8,130,104,40,OFF
21.2,93,122,176,OFF
13.5,129,127,99,RED
27.0,175,151,82,OFF
4.7,206,188,142,BOTH
20.9,154,173,171,OFF
10.6,203,75,157,RED
29.1,95,138,132,OFF
31.3,132,158,155,OFF
9.3,138,153,45,RED
11.0,145,106,92,OFF
22.3,153,242,77,OFF
12.3,177,81,161,OFF
15.0,132,88,97,OFF
15.6,155,139,146,RED
0.1,148,211,134,BOTH
15.3,113,98,79,OFF
9.9,145,119,89,OFF
11.5,144,171,163,OFF
26.9,143,129,82,BOTH
5.4,151,117,117,BOTH
21.9,153,151,82,OFF
13.2,132,140,100,OFF
13.2,201,169,111,OFF
21.7,103,179,82,OFF
18.1,121,141,75,OFF
20.0,255,141,124,RED
23.1,108,138,79,OFF
12.7,95,148,81,RED
10.5,179,132,75,OFF
6.7,66,130,109,RED
8.8,140,176,150,OFF
39.0,236,188,172,OFF
25.3,88,72,84,OFF
4.6,70,130,197,WHITE
4.8,90,103,73,OFF
19.2,186,118,155,RED
19.8,195,145,84,OFF
19.8,129,155,78,OFF
13.4,177,125,83,WHITE
14.4,205,56,110,OFF
18.0,221,93,135,OFF
16.1,140,164,139,OFF
0.0,57,25,75,WHITE
13.6,117,175,74,OFF
8.6,133,150,76,OFF
16.8,139,180,108,OFF
39.3,142,122,104,OFF
18.3,195,51,75,OFF
12.9,201,146,123,OFF
22.8,143,179,202,RED
19.3,194,165,93,OFF
18.8,164,104,95,RED
20.2,152,133,135,RED
31.8,186,109,90,WHITE
6.4,153,98,139,OFF
19.2,232,166,84,OFF
8.0,92,84,185,WHITE
19.8,129,95,126,OFF
8.1,145,87,88,OFF
12.1,167,73,89,WHITE
13.0,201,135,92,OFF
23.2,149,174,167,OFF
22.7,93,123,63,OFF
5.4,184,72,86,RED
15.8,180,162,90,OFF
9.7,72,194,112,WHITE
5.3,150,105,102,OFF
13.7,86,111,54,OFF
12.9,123,149,97,OFF
34.8,113,192,109,OFF
18.9,182,110,88,OFF
4.4,154,79,140,OFF
10.9,98,154,149,WHITE
23.6,185,160,109,OFF
32.1,92,130,122,OFF
2.7,163,108,27,OFF
0.4,117,168,96,RED
30.3,135,150,152,OFF
18.5,170,100,96,OFF
8.5,171,132,83,WHITE
19.7,203,78,202,OFF
0.0,146,156,184,OFF
15.4,162,120,131,OFF
18.0,132,113,157,RED
22.8,157,128,25,OFF
7.3,167,131,81,OFF
16.1,146,164,94,RED
8.0,77,152,103,OFF
17.4,163,124,93,RED
8.2,164,159,12,OFF
12.1,122,145,128,OFF
7.4,98,113,134,OFF
20.6,209,125,176,OFF
22.3,169,124,81,OFF
13.5,141,149,78,OFF
15.7,104,116,7,OFF
3.8,117,115,101,WHITE
13.0,202,205,148,OFF
15.0,155,166,88,RED
36.3,128,101,197,WHITE
6.5,170,152,102,BOTH
27.1,117,134,118,WHITE
23.4,210,145,59,OFF
17.6,204,135,124,BOTH
29.4,131,175,34,RED
18.4,124,143,140,RED
18.5,45,127,141,OFF
15.0,90,170,166,BOTH
25.2,96,139,72,RED
24.2,155,134,119,RED
10.4,137,142,135,OFF
4.8,96,126,130,OFF
13.8,138,130,78,BOTH
9.0,170,107,18,OFF
14.9,171,101,126,OFF
25.3,74,91,106,RED
11.7,145,76,90,OFF
15.1,94,96,143,OFF
15.9,186,123,111,OFF
22.2,181,134,61,OFF
0.0,114,119,36,OFF
10.5,119,39,68,OFF
17.1,131,190,207,OFF
25.0,59,171,141,OFF
11.5,163,147,120,WHITE
0.4,139,203,105,OFF
20.3,189,92,103,OFF
10.3,106,202,159,OFF
5.9,125,93,93,RED
10.4,89,139,135,BOTH
13.9,109,81,99,OFF
10.6,102,130,189,OFF
0.0,190,145,142,OFF
22.6,122,124,162,RED
25.6,155,157,89,OFF
20.6,134,133,154,OFF
6.3,99,110,100,RED
13.8,143,108,117,BOTH
15.3,174,161,177,OFF
20.2,101,105,71,BOTH
20.7,182,165,121,OFF
9.5,116,177,130,RED
16.0,130,66,133,OFF
19.0,171,173,95,OFF
27.0,123,209,195,OFF
21.0,151,139,61,OFF
21.7,137,153,170,OFF
16.1,155,169,160,OFF
26.7,54,119,187,OFF
18.7,76,137,50,OFF
8.5,174,79,78,WHITE
26.6,191,135,171,OFF
21.0,113,149,39,OFF
11.9,140,149,49,OFF
11.6,162,171,93,OFF
17.8,178,100,120,OFF
19.1,68,109,175,OFF
17.0,114,202,105,OFF
17.9,136,124,89,OFF
29.0,178,137,125,RED
24.0,250,127,131,OFF
16.9,141,98,130,OFF
22.9,93,192,105,OFF
7.1,166,109,35,WHITE
18.6,203,86,76,OFF
29.9,154,112,168,WHITE
13.6,113,53,120,OFF
8.6,188,105,100,OFF
10.2,176,93,157,RED
6.7,109,153,68,WHITE
9.1,165,104,104,OFF
12.4,190,164,118,OFF
4.2,197,183,95,OFF
15.5,147,160,116,WHITE
22.6,135,121,105,OFF
8.1,199,135,57,OFF
27.5,101,71,120,OFF
19.5,167,125,60,OFF
23.6,95,97,119,OFF
10.1,192,156,167,OFF
22.2,139,228,101,OFF
6.7,201,149,66,OFF
22.5,169,53,108,OFF
16.8,101,116,80,OFF
19.8,207,134,136,OFF
6.0,212,133,107,OFF
8.2,185,102,180,OFF
20.2,119,139,158,OFF
7.8,137,82,106,RED
19.1,156,93,141,OFF
4.5,121,154,97,OFF
22.2,218,91,114,OFF
5.5,155,150,98,OFF
19.8,41,77,143,OFF
20.4,163,197,169,OFF
9.8,136,100,144,OFF
20.0,147,121,149,OFF
17.5,135,142,149,OFF
11.1,182,108,134,RED
7.3,195,135,68,WHITE
0.0,161,152,180,BOTH
18.2,136,167,184,OFF
2.9,148,160,103,RED
16.2,150,123,98,RED
13.3,118,124,137,BOTH
20.8,173,220,134,OFF
13.0,168,166,105,RED
12.8,211,94,63,OFF
21.2,200,134,125,OFF
18.1,122,117,134,OFF
17.9,183,124,141,RED
19.1,112,83,126,WHITE
3.1,178,114,102,OFF
21.4,129,199,152,OFF
20.3,109,152,115,OFF
7.3,161,34,94,OFF
13.4,42,176,105,OFF
15.1,79,171,44,OFF
14.3,143,116,105,WHITE
18.1,153,157,140,OFF
26.8,135,97,126,OFF
24.0,86,112,172,WHITE
4.9,117,187,102,WHITE
20.4,165,119,132,RED
26.0,173,58,144,OFF
18.5,149,127,205,RED
24.1,196,127,118,OFF
31.5,166,176,71,WHITE
23.6,120,130,146,OFF
17.4,138,114,186,RED
23.7,93,170,100,OFF
16.6,145,134,146,OFF
15.6,194,101,161,RED
12.6,177,174,153,WHITE
27.9,206,137,117,OFF
8.9,138,130,85,WHITE
27.6,204,137,109,OFF
19.4,142,89,131,OFF
4.2,209,109,148,OFF
18.3,149,130,126,OFF
0.0,178,122,98,OFF
20.4,209,179,134,RED
22.5,142,138,146,OFF
10.7,158,162,127,OFF
16.4,201,130,80,RED
31.0,144,170,105,RED
11.4,97,145,150,OFF
6.9,236,130,58,OFF
27.2,131,129,30,OFF
31.1,156,93,172,OFF
15.4,196,149,133,OFF
23.5,125,128,136,OFF
26.1,109,110,70,RED
9.5,160,172,142,OFF
11.5,78,82,123,OFF
25.2,138,113,50,WHITE
28.9,160,169,169,OFF
19.9,139,142,119,OFF
8.4,88,128,97,WHITE
31.3,214,139,98,WHITE
11.1,154,137,33,OFF
12.7,207,71,136,OFF
18.1,139,116,123,BOTH
27.8,114,192,105,OFF
22.2,161,104,163,OFF
18.7,141,117,58,OFF
19.1,102,109,89,OFF
15.7,209,126,79,WHITE
19.9,125,107,102,OFF
0.0,76,148,115,RED
13.0,203,137,129,RED
17.3,129,159,99,RED
6.2,125,89,78,RED
18.5,79,117,179,RED
13.8,220,121,208,OFF
29.4,98,147,118,OFF
28.0,152,99,83,RED
11.7,186,165,171,OFF
14.2,167,175,55,OFF
14.8,147,92,99,OFF
11.8,81,111,85,OFF
17.0,117,109,67,RED
9.3,157,231,101,OFF
6.4,118,113,78,OFF
20.4,158,194,113,RED
20.4,177,81,114,OFF
9.0,188,92,88,RED
22.5,101,103,98,OFF
10.3,238,97,103,RED
17.4,180,119,144,OFF
21.9,150,102,107,OFF
15.1,193,98,145,RED
19.0,245,174,136,OFF
11.3,92,177,135,BOTH
13.8,141,166,167,OFF
13.7,54,150,68,OFF
9.4,157,133,94,OFF
14.0,164,111,182,OFF
3.0,148,93,102,OFF
11.5,123,144,2,BOTH
13.1,68,85,105,OFF
13.3,165,92,118,RED
13.5,208,174,9,OFF
14.9,126,203,165,OFF
19.2,167,145,84,OFF
22.4,87,172,125,OFF
10.2,168,120,104,BOTH
5.8,134,78,62,OFF
7.1,119,153,70,OFF
11.5,119,152,76,OFF
12.6,134,132,155,OFF
9.2,165,120,107,OFF
5.0,97,167,92,OFF
11.7,134,92,76,OFF
16.8,148,100,160,WHITE
20.1,106,91,170,RED
10.9,222,133,159,OFF
12.1,115,88,132,OFF
8.0,123,103,124,RED
15.1,110,103,65,BOTH
8.6,222,120,103,BOTH
20.0,172,73,86,WHITE
1.1,112,133,41,OFF
12.5,194,178,154,WHITE
17.8,158,135,85,WHITE
16.9,160,189,160,OFF
36.9,136,181,147,OFF
18.2,120,160,134,OFF
7.4,163,133,137,OFF
14.6,128,131,88,OFF
1.2,223,159,186,OFF
14.7,99,115,114,OFF
8.7,211,57,124,OFF
22.7,145,149,87,OFF
11.0,162,86,76,RED
14.5,183,93,131,OFF
10.3,124,130,121,WHITE
29.3,184,126,81,WHITE
12.8,41,76,56,WHITE
30.0,121,136,62,RED
21.9,113,167,160,OFF
19.2,99,86,88,OFF
18.3,141,179,99,OFF
18.5,165,70,170,BOTH
0.0,178,211,68,OFF
13.2,159,114,84,OFF
22.1,123,135,82,RED
15.0,165,57,176,WHITE
4.2,155,127,191,RED
15.0,187,138,142,OFF
29.0,181,126,143,OFF
25.4,151,108,90,OFF
14.9,114,93,189,OFF
23.0,124,173,123,WHITE
12.5,128,131,146,OFF
1.8,137,189,108,OFF
8.0,160,109,102,WHITE
27.9,178,113,178,OFF
13.2,148,161,134,WHITE
13.4,150,67,170,RED
13.0,155,83,123,RED
30.6,129,172,79,OFF
28.4,113,85,90,OFF
33.1,79,60,117,WHITE
14.1,122,201,88,WHITE
17.8,169,76,69,OFF
3.3,122,137,160,OFF
27.2,140,132,91,OFF
6.1,168,22,118,BOTH
